name,rating,user_ratings_total
Uncle Julio's Frontenac,3.8,786.0
801 Local,4.4,126.0
Lu Lu Seafood & Dim Sum,4.1,1220.0
Sugarfire Smoke House,4.5,4054.0
House of India,4.2,959.0
Asian Kitchen Korean Cuisine,4.3,479.0
Olivette Lanes,4.5,1173.0
Haveli Indian Restaurant,4.2,1009.0
Subway,3.9,98.0
Papa Johns Pizza,3.6,279.0
Royal Chinese BBQ,3.8,235.0
Fallon's Bar & Grill,4.5,763.0
The Original Pancake House Ladue,4.6,2031.0
The Pasta House Co.,4.1,668.0
La Pizza,4.7,632.0
Olivette Diner,4.6,883.0
Domino's Pizza,3.5,181.0
Wendy's,3.7,1827.0
Frida's and Bonito Bar,4.4,557.0
McDonald's,3.6,1083.0
The Woman's Exchange of Saint Louis,4.1,34.0
The Honey Baked Ham Company,4.3,95.0
Dewey's Pizza,4.7,1108.0
O! Wing Plus,4.5,486.0
Imo's Pizza,4.0,281.0
Subway,3.3,29.0
Chevys,4.2,3029.0
Pizza Hut,3.3,461.0
On The Run,2.7,20.0
QuikTrip,3.6,45.0
Circle @ Crown Cafe,4.7,21.0
McDonald's,3.4,1515.0
On The Run,2.9,11.0
Subway,4.1,183.0
"The Caramel House, Saint Louis, Missouri",4.7,58.0
Elmo's Love Lounge,4.1,877.0
Lam's Garden,4.3,366.0
Jimmy John's,2.8,130.0
Wingstop,3.5,647.0
Chong Wah Restaurant,4.3,400.0
Imo's Pizza,3.9,327.0
McDonald's,3.7,1151.0
I Love Mr Sushi,4.4,500.0
Burger King,3.5,1338.0
Starbucks,4.2,524.0
Frank & Helen's Pizzeria,4.5,760.0
Woofies Hot Dogs,4.5,946.0
Taco Bell,3.5,698.0
China King,4.1,216.0
J. McGraugh's Bar & Grill,4.5,194.0
Circle K,1.9,26.0
Church's Texas Chicken,3.5,940.0
Three of A Kind Bar & Grill,4.4,589.0
QuikTrip,3.3,34.0
Chef's Express At Schnucks,4.3,55.0
Las Palmas Mexican Restaurant,4.0,458.0
K C Chinese Rotisserie Restaurant,4.4,38.0
Chipotle Mexican Grill,,
Panera Bread,4.6,5.0
Raising Cane's Chicken Fingers,3.3,18.0
Two Thumbs Up Restaurant,,
Irie Eats Jamaican Restaurant,4.3,278.0
Haveli Indian Restaurant,4.2,1009.0
Subway,3.5,130.0
Little Caesars Pizza,3.5,622.0
Nick & Elena's Pizzeria,4.4,932.0
O! Wing Plus,4.5,486.0
Pizza Hut,3.5,495.0
Ms Piggies' Smokehouse,4.4,731.0
Pizza Hut,3.3,461.0
Denny's,3.9,1647.0
Taco Bell,3.5,1068.0
Taco Bell,3.4,1393.0
Chuck-A-Burger Drive-In Restaurant,4.6,2150.0
Papa Johns Pizza,3.4,277.0
US Food and Liquor,4.3,41.0
Sonic Drive-In,2.9,1262.0
KFC,3.2,1030.0
Icon Grills,,
Big Jays Chicken And Shrimp,4.3,674.0
Penn Station East Coast Subs,4.0,401.0
Acapulco Restaurant,4.1,676.0
Omar's Grill,4.1,703.0
Taqueria Durango,4.4,1079.0
On The Run,2.9,11.0
China Moon,3.8,211.0
QuikTrip,3.6,45.0
Applebee's Grill + Bar,3.9,1367.0
Wendy's,3.7,929.0
Imo's Pizza,3.8,368.0
St. Louis Kolache,4.5,518.0
Imo's Pizza,3.8,563.0
McDonald's,3.5,1196.0
Chimi's Fresh-Mex,4.4,1570.0
Domino's Pizza,3.9,361.0
Las Palmas Mexican Restaurant,4.0,458.0
Arby's,3.9,680.0
Rally's,3.4,1143.0
QuikTrip,3.3,49.0
House of Chen,4.2,238.0
Wingstop,3.5,647.0
Woofies Hot Dogs,4.5,946.0
Suwallers Bar & Grill,4.7,980.0
QuikTrip,4.0,61.0
Wok and Roll STL,,
The Req Room Bar and Bistro,4.6,245.0
Old Town Subs,4.6,138.0
Old time subs,,
Waffle House,4.1,256.0
El Tenampa Mexican Restaurant y Tienda,4.0,276.0
Crab N Go,4.3,135.0
Dunkin',3.6,456.0
Fire Chicken,4.6,233.0
El Mexiquense Wood Grill Cuisine,4.1,382.0
St. Louis Halal Meat,4.2,148.0
Touch Down Wings,4.2,130.0
Popeyes Louisiana Kitchen,2.8,1124.0
Stl On The Rocks Bar & Grill,4.5,196.0
Sides of Seoul (SOS) Korean Take-Out,4.8,312.0
El Guanaco Taqueria & Pupuseria.,4.3,227.0
Bbq,,
King Grill,3.9,150.0
Waffle House,4.2,1431.0
Subway,4.2,509.0
Underground Burger Bar,3.6,105.0
Lombardo's Family of Restaurants,4.1,560.0
Papa Johns Pizza,3.4,277.0
Pizza Hut,3.5,495.0
Penn Station East Coast Subs,4.0,401.0
Little Caesars Pizza,3.5,622.0
Chuck-A-Burger Drive-In Restaurant,4.6,2150.0
